task_id,hostname,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,cpu_model
47,-,989796,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS,K562_R1,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (K562_R1),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1724267915149,1724267915234,1724267949956,34807,34000,-,138.9,0.2,56254464,214065152,56254464,232976384,1667446628,2738431,99528,686,139264,2744320,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
65,-,995454,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT,K562_R2,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (K562_R2),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1724267944763,1724267944858,1724267950547,5784,5000,-,118.2,0.0,7147520,164339712,7147520,231587840,677527194,5452,38798,19,0,12288,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
68,-,996374,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS,A549_R2,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (A549_R2),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1724267949962,1724267950056,1724267950844,882,0,-,106.7,0.0,3231744,5640192,3231744,5644288,2737265,5495,268,19,0,12288,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
56,-,993498,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS,A549_R3,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (A549_R3),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1724267934823,1724267934918,1724267964199,29376,28000,-,138.9,0.3,115044352,272986112,115044352,273055744,1261963285,24969772,72476,6113,4096,24973312,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
64,-,995831,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS,K562_R2,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (K562_R2),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1724267946659,1724267946754,1724267964200,17541,16000,-,136.6,0.4,139517952,297402368,139517952,297431040,677527894,5333757,38798,1319,1712128,5337088,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
75,-,999000,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS,K562_R3,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (K562_R3),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1724267964209,1724267964302,1724267965186,977,0,-,111.6,0.0,3211264,5640192,3211264,5644288,2850930,5501,269,19,2736128,12288,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
70,-,996732,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT,A549_R2,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (A549_R2),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1724267950551,1724267950647,1724267972250,21699,20000,-,116.5,0.0,7360512,164876288,7360512,231587840,2773550154,5458,159868,19,37015552,12288,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
55,-,992017,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS,A549_R1,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (A549_R1),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1724267927154,1724267927245,1724267983670,56516,56000,-,140.9,0.2,81600512,239755264,81825792,239992832,2715066587,3757858,162950,935,5750784,3764224,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
71,-,998992,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT,K562_R3,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (K562_R3),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1724267964203,1724267964301,1724267984468,20265,20000,-,117.8,0.0,7057408,164339712,7057408,231587840,2768755509,5459,157382,19,0,12288,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
69,-,996821,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS,A549_R2,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (A549_R2),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1724267950850,1724267950944,1724268006821,55971,55000,-,137.4,3.7,1256771584,1417723904,1256771584,1417728000,2773550853,38361515,159868,9383,7098368,38367232,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
72,-,999377,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS,K562_R3,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (K562_R3),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1724267965192,1724267965286,1724268013696,48504,48000,-,139.1,0.5,185692160,343867392,185692160,343871488,2768756206,6533236,157382,1612,0,6537216,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
50,-,1001995,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED,-,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (1),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.29.2--hc088bd4_0,6,28800000,-,25769803776,1,1724268006826,1724268006921,1724268051873,45047,43000,-,127.9,4.2,1422204928,1589313536,1422204928,1589362688,1883191630,431584661,152152,105384,10817536,215801856,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
49,-,1003648,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV,K562_R1,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.29.2--hc088bd4_0,6,28800000,-,25769803776,1,1724268051877,1724268051972,1724268175487,123610,121000,-,116.7,22.9,7681814528,9532092416,8727257088,10686836736,2113405257,892011904,208837,19149021,31117312,446017536,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
54,-,1006565,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV,A549_R1,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (A549_R1),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.29.2--hc088bd4_0,6,28800000,-,25769803776,1,1724268175492,1724268175587,1724268332075,156583,154000,-,110.3,18.8,6299512832,7440084992,7212290048,8431136768,3058324555,686610586,247276,14614418,102879232,343314432,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
53,-,1009890,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED,-,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (2),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.29.2--hc088bd4_0,6,28800000,-,25769803776,1,1724268332080,1724268332175,1724268406524,74444,71000,-,133.0,8.6,2875224064,3356082176,2875224064,3356086272,3146173388,862308279,268153,210542,0,431165440,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
59,-,1011899,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED,-,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (3),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.29.2--hc088bd4_0,6,28800000,-,25769803776,1,1724268406528,1724268406624,1724268441186,34658,32000,-,129.5,3.4,1129230336,1239179264,1129230336,1239183360,1431318910,338805929,113775,82734,79527936,169414656,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
60,-,1013314,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV,A549_R3,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (A549_R3),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.29.2--hc088bd4_0,6,28800000,-,25769803776,1,1724268441191,1724268441286,1724268526737,85546,83000,-,116.3,13.9,4662300672,5912342528,6188810240,7472246784,1541130927,558429939,141406,11939497,0,279224320,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
61,-,1015523,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV,K562_R2,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R2),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.29.2--hc088bd4_0,6,28800000,-,25769803776,1,1724268526742,1724268526837,1724268579300,52558,50000,-,120.3,9.1,3060707328,3968282624,4935663616,5541842944,868308250,381655365,87654,8256241,12394496,190836736,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
62,-,1017153,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED,-,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.29.2--hc088bd4_0,6,28800000,-,25769803776,1,1724268579305,1724268579400,1724268598294,18989,16000,-,129.7,1.8,611495936,725540864,611495936,725577728,766321190,177681267,60428,43396,0,88850432,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
67,-,1018291,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED,-,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (5),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.29.2--hc088bd4_0,6,28800000,-,25769803776,1,1724268598300,1724268598394,1724268667300,69000,67000,-,122.6,5.3,1786060800,2019262464,1786060800,2019266560,3050462010,553916993,227425,135250,77942784,276967424,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
66,-,1020227,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV,A549_R2,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (A549_R2),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.29.2--hc088bd4_0,6,28800000,-,25769803776,1,1724268667304,1724268667400,1724268822395,155091,152000,-,113.9,24.1,8100868096,9490497536,9139150848,10637189120,3250633018,954258982,276926,20292797,2789376,477138944,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
73,-,1023599,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED,-,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (6),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.29.2--hc088bd4_0,6,28800000,-,25769803776,1,1724268822399,1724268822495,1724268894093,71694,69000,-,128.4,7.1,2383282176,2776145920,2383282176,2776150016,3119679965,701942193,243009,171390,124952576,350982144,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
74,-,1025531,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV,K562_R3,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R3),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.29.2--hc088bd4_0,6,28800000,-,25769803776,1,1724268894097,1724268894193,1724269056542,162445,159000,-,114.6,26.3,8805117952,11573129216,9862647808,12727726080,3292366655,1047315546,285634,22455979,0,523669504,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
77,-,1028899,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:UCSC_BED12TOBIGBED,K562_R1,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:UCSC_BED12TOBIGBED (K562_R1),COMPLETED,0,-,quay.io/biocontainers/ucsc-bedtobigbed:377--h446ed27_1,6,28800000,-,25769803776,1,1724269056545,1724269056642,1724269068633,12088,9000,-,99.0,0.0,8822784,36798464,8953856,36868096,647485004,71235266,10026,7911,189886464,71245824,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
